Date,High,Low,Open,Close,Volume,Adj Close,SMA_5,SMA_20,Long_Entry,Long_Exit,Short_Entry,Short_Exit,ret
2017-01-30,1379.4000244140625,1360.0,1370.4000244140625,1371.9000244140625,2427494.0,1291.4398193359375,1324.7,1253.8575073242187,0,0,0,0,0.0
2017-01-31,1388.199951171875,1353.0,1371.449951171875,1365.8499755859375,2588181.0,1285.7445068359375,1345.9199951171875,1261.2950073242187,0,0,0,0,0.0
2017-02-01,1417.449951171875,1369.6500244140625,1370.0,1412.0999755859375,2637813.0,1329.2821044921875,1372.189990234375,1271.2000061035155,0,0,0,0,0.0
2017-02-02,1411.0,1385.699951171875,1411.0,1401.300048828125,2336054.0,1319.115478515625,1384.9699951171874,1280.660009765625,0,0,0,0,0.0
2017-02-03,1408.0,1385.5999755859375,1401.5,1397.449951171875,2144208.0,1315.4912109375,1389.7199951171874,1289.672509765625,0,0,0,0,0.0
2017-02-06,1411.8499755859375,1388.5999755859375,1402.0,1400.300048828125,2029593.0,1318.17431640625,1395.4,1298.5700134277345,0,0,0,0,0.0
2017-02-07,1410.0,1388.4000244140625,1399.5999755859375,1407.25,2731391.0,1324.7166748046875,1403.6800048828125,1307.7550109863282,0,0,0,0,0.0
2017-02-08,1410.0,1383.800048828125,1410.0,1401.0999755859375,2263272.0,1318.92724609375,1401.4800048828124,1316.947509765625,0,0,1401,0,0.0
2017-02-09,1421.199951171875,1385.6500244140625,1402.0,1396.9000244140625,2389616.0,1314.9737548828125,1400.6,1325.2900085449219,0,0,0,0,0.002997609910112664
2017-02-10,1410.0,1382.800048828125,1408.0,1388.550048828125,1637560.0,1307.113525390625,1398.82001953125,1333.6625122070313,0,0,0,0,0.005977504073306883
2017-02-13,1398.4000244140625,1372.5999755859375,1398.4000244140625,1392.050048828125,1638938.0,1310.408203125,1397.17001953125,1340.8900146484375,0,0,0,0,-0.002520614941430299
2017-02-14,1403.6500244140625,1388.050048828125,1398.0,1398.1500244140625,1564027.0,1316.150390625,1395.3500244140625,1347.9525146484375,0,0,0,0,-0.004382008815755345
2017-02-15,1409.800048828125,1389.5,1399.9000244140625,1399.1500244140625,2323380.0,1317.091552734375,1394.9600341796875,1355.6200134277344,0,0,0,0,-0.0007152308282647457
2017-02-16,1403.0,1386.25,1394.1500244140625,1393.550048828125,2017252.0,1311.8201904296875,1394.2900390625,1362.8450134277343,0,0,0,1393,0.004002412527765009
2017-02-17,1432.6500244140625,1400.199951171875,1425.0,1402.5,2075335.0,1320.2451171875,1397.080029296875,1370.8500122070313,0,0,0,0,0.0
2017-02-20,1402.8499755859375,1386.0,1401.550048828125,1393.300048828125,1470475.0,1311.5849609375,1397.330029296875,1378.6500122070313,0,0,1393,0,0.0
2017-02-21,1414.0,1389.8499755859375,1393.0999755859375,1412.449951171875,734159.0,1329.6116943359375,1400.1900146484375,1386.285009765625,0,0,0,0,-0.013744277379345915
